Section,KEY,DEFAULT ,JPN
Checkout,subscription_purchase_disclaimer,"By purchasing this plan, you agree that you are purchasing a subscription of %{price} that is charged on a recurring %{subscription_cadence} basis, %{after_your_free_trial} until you cancel.",このプランを購入することで、お客様は、解約するまで %{subscription_cadence} ベースで定期的に課金される %{after_your_free_trial} のサブスクリプションを購入することに同意するものとします。
Checkout,subscription_purchase_disclaimer_with_bump,"By executing this order, you agree that you are purchasing two subscriptions, %{price}, that are charged on a %{subscription_cadence} recurring basis, %{after_your_free_trial} until you cancel. You will be charged in a single transaction today though you will receive receipts for each product. On a go-forward basis, each product will be billed separately.",
Checkout,plus_any_applicable_tax,(plus any applicable tax),(別途消費税がかかります)
Checkout,after_your_free_trial,"after your free trial,",無料トライアルの後
Checkout,steps_select_a_course,Select a course,コースを選ぶ
Checkout,steps_create_account,Create account,アカウントを作成する
Checkout,steps_login,Login,ログイン
Checkout,steps_checkout,Payment,支払い
Checkout,invalid_vat_id,Invalid Tax Number,不正なTAX Number
Checkout,incorrect_number,The card number is incorrect.,カード番号が正しくありません。
Checkout,invalid_number,The card number is invalid.,カード番号が無効です。
Checkout,card_declined,The card was declined.,このカードは有効期限切れです。
Checkout,invalid_expiry_month,The card's expiration month is invalid.,カードの有効期限月が無効です。
Checkout,invalid_expiry_year,The card's expiration year is invalid.,カードの有効期限年が無効です。
Checkout,invalid_cvc,The card's security code is invalid.,このカードのセキュリティコードが無効です。
Checkout,expired_card,The card has expired.,カードは有効期限切れです。
Checkout,incorrect_cvc,The card's security code is incorrect.,カードのセキュリティコードが無効です。
Checkout,incorrect_postal,The card's postal code failed validation.,カードの郵便番号の検証に失敗しました。
Checkout,incorrect_zip,The card's ZIP code failed validation.,カードの郵便番号の検証に失敗しました。
Checkout,invalid_request_error,The card number is not a valid credit card number.,カード番号が有効なクレジットカード番号ではありません。
Checkout,missing,There is no card on a customer that is being charged.,請求されている顧客にカードがありません。
Checkout,processing_error,An error occurred while processing the payment.,支払いの過程で問題が発生しました。
Checkout,fedora_server_error,"Undergoing maintenance, purchasing temporarily unavailable, please try again later. You have not been charged.",メンテナンス中で一時的に購入できません。しばらくしてからもう一度お試しください。まだ請求はされていません。
Checkout,multiple_currency_error,"We are very sorry, but at this time we can only support subscriptions in one currency per customer, and you already have a subscription in a different currency.",申し訳ありません。現時点では１顧客につき１つの通貨での登録しかサポートしておりません。既に別の通貨で登録されています。
Checkout,already_purchased_error,You have already purchased this product.,この商品は既に購入されています。
Checkout,network_error,A network error prevented this action from being completed. Please try again.,ネットワークエラーにより、この操作を完了できませんでした。もう一度やり直してください。
Checkout,business_name,Business name,会社名
Checkout,add_business_details,Add business details,Add business details
Checkout,add_business_name,Add business name,会社名を追加する（任意）
Checkout,billing_address,Billing Address,住所
Checkout,delivery_address,Delivery Address,配送先住所
Checkout,delivery_address_tooltip,Delivery address is required to calculate taxes. We may also use this to send any physical materials related to the purchase.,お届け先は、税金の計算に必要です。また、ご購入いただいた商品に関連する資料をお送りする際にも使用することがあります。
Checkout,city,City,市区町村
Checkout,state,State,State
Checkout,state_province_or_region,"State, Province, or Region",都道府県を追加
Checkout,add_state_province_or_region,"Add State, Province, or Region",都道府県
Checkout,country,Country,国
Checkout,street_address,Street Address,番地(英数字のみ)
Checkout,street_address_2,Street Address Line 2,建物名(ローマ字、英数字)
Checkout,add_street_address_2,Add address line 2,建物名などを入力(英数字のみ)
Checkout,street_address_2_placeholder,apt/floor/suite/bldg,アパート名/部屋番号/建物名
Checkout,postal_code,Postal Code,郵便番号
Checkout,zip_code,ZIP Code,郵便番号
Checkout,delivery_same_as_billing,Delivery address same as billing,配送先の住所は同じです
Checkout,add_card,Add Card,カードを追加する
Checkout,verify_card,Verify Card,カードを確認する
Checkout,verifying_card,Verifying Card...,カードを確認中…
Checkout,confirm_payment,Confirm Payment,支払いを確認する
Checkout,verified_card,Verified card ending in,確認済みのカードで終わる
Checkout,name_on_card_required,Name on card is required,カードの名前は必須です。
Checkout,no_country_selected,Please select your billing country,国を選択してください。
Checkout,country_select_prompt,Select your billing country,請求先の国を選択
Checkout,tax_country_mismatch,We could not establish a correct country for tax purposes. Please try again.,税務上、正しい国を設定できませんでした。もう一度やり直して下さい。
Checkout,security_info_heading,Your payment is secure,この支払いは全て暗号化されます
Checkout,security_info_description,This is a secure 128-bit SSL encrypted payment,全ての支払いは暗号化され、安全な128ビットSSL暗号化技術によって処理されます
Checkout,required_fields_description,required,必須
Checkout,optional_fields_description,optional,任意
Checkout,mobile_pay_authorized_message,Almost done! Complete your order by clicking the button below.,ほぼ完了しました。下記のボタンをクリックして注文を完了して下さい。
Checkout,email_error_default,The email you entered is invalid.,入力されたメールアドレスは無効です
Checkout,email_error_misspelled_gmail,"Did you mean ""gmail""?",gmailになっていますか？
Checkout,email_error_misspelled_com,"Did you mean "".com""?",.comになっていますか？
Checkout,email_error_no_tld,"Did you forget something? Most email addresses have a ""."", like in "".com"".",何かお忘れではありませんか？ほとんどのメールアドレスには「.com」のように「.」が付きます。
Checkout,email_error_dismiss,Dismiss,やめる
Checkout,your_order_id,Your order ID:,あなたの注文 ID:
Checkout,receive_confirmation_at,You will shortly receive an email confirmation at,すぐに確認メールが届きます。
Checkout,password_header,One last step...,最後のステップ…
Checkout,password_instructions,Please complete your account information to access %{course_name} in the future.,今後%{course_name}にアクセスするには、アカウント情報を入力してください。
Checkout,password_submit,Create Account,アカウントを作成する
Checkout,confirm_location,Confirm Your Billing Location,請求先を確認して下さい
Checkout,account_information,Contact Information,お問い合わせ先
Checkout,student_login_description,Use this account to access materials and services related to your purchase,このアカウントを使用して、お客様の購入に関連する資料やサービスにアクセスすること
Checkout,estimated_tax_label,Est. tax,Est. tax
Checkout,plus_tax_hint,plus tax,plus tax
Checkout,estimated_tax_tooltip_details,The estimated sales tax will be added to the order summary after you provide a delivery address. The listed sales tax on checkout is only an estimate. Your invoice will contain the final sales tax.,推定消費税は、お客様が配送先住所を入力した後、注文概要に追加されます。チェックアウト時に表示される税金はあくまでも概算です。領収書には最終的な税額が記載されます。
Checkout,verified_email_school_account,It looks like you already have a %{school_name} account.,あなたはすでに%{school_name}アカウントを持っているようです。
Checkout,verified_email_teachable_account,It looks like you already have a Teachable account.,あなたはすでにTeachableアカウントを持っているようです。
Checkout,not_you_use_different_email,"If this is not you, please use a different email address.",そうでない場合は、別のEメールアドレスを使用して下さい。
Checkout,forgot_password_sentence,"If you forgot your password, %{link}.",パスワードを忘れた場合は、%{link}。
Checkout,forgot_password_link_text,click here to reset it,リセットするにはここをクリック
Checkout,enter_password,Enter password,パスワードを入力する
Checkout,logged_in_as,You are logged in as %{email}.,すでに %{email}でログインしています。
Checkout,save_payment_details_for_future,Save my billing info for future purchases,今後の購入のためにカード情報を保存しておく
Checkout,save_payment_details_learn_more,Learn More,もっと詳しく知る
Checkout,wait_title,Hang tight! We're processing your payment.,支払いを処理しています。
Checkout,wait_title_retry,Hey! You already have an order in progress.,既に注文が進行中です。
Checkout,wait_message,This may take up to 30 seconds.,最大30秒かかります。
Checkout,new_device_title,We don't recognize this device.,このデバイスでは認識できません。
Checkout,new_device_body,Check your email for instructions to authorize this device and complete your purchase.,このデバイスを認証して購入を完了する手順については、メールを確認して下さい。
Checkout,coupon_frequency_first,First Payment,初回のお支払い
Checkout,coupon_frequency_all,All Payments,すべてのお支払い
Checkout,purchase_form_disclaimer,This is a subscription product billed on a monthly basis until you cancel. Cancel anytime from the account management page.,本製品は、解約するまで月単位で請求されるサブスクリプション製品です。解約はアカウント管理ページからいつでも可能です。
Checkout,purchase_form_disclaimer_quarterly,This is a subscription product billed on a quarterly basis until you cancel. Cancel anytime from the account management page.,本製品は、解約するまで四半期ごとに請求されるサブスクリプション製品です。解約はアカウント管理ページからいつでも可能です。
Checkout,purchase_form_disclaimer_semiannually,This is a subscription product billed on a semi-annual basis until you cancel. Cancel anytime from the account management page.,本製品は、解約するまで半年ごとに課金されるサブスクリプション製品です。解約はアカウント管理ページからいつでも可能です。
Checkout,purchase_form_disclaimer_yearly,This is a subscription product billed on a yearly basis until you cancel. Cancel anytime from the account management page.,本製品は、解約するまで1年ごとに課金されるサブスクリプション製品です。解約はアカウント管理ページからいつでも可能です。
Checkout,purchase_form_disclaimer_weekly,This is a subscription product billed on a weekly basis until you cancel. Cancel anytime from the account management page.,本製品は、解約するまで週ごとに課金されるサブスクリプション製品です。解約はアカウント管理ページからいつでも可能です。
Checkout,purchase_form_disclaimer_biweekly,This is a subscription product billed on a biweekly basis until you cancel. Cancel anytime from the account management page.,本製品は、解約するまで隔週ごとに課金されるサブスクリプション製品です。解約はアカウント管理ページからいつでも可能です。
Checkout,purchase_form_vat_school_disclaimer,Contact %{school_name} for more info.,詳細は %{school_name} へお問い合わせください。
Checkout,purchase_form_vat_owner_disclaimer,Contact %{school_owner} at %{school_name} for more info.,詳細は %{school_name} の %{school_owner} へお問い合わせください。
Checkout,address_verification_error,There was an issue verifying your address. Please review the entered info for accuracy.,あなたの住所の確認に問題が発生しました。入力した情報が正しいかどうか確認してください。
Creator Checkout,new_device_sign_in,"One more thing, we need to confirm this device. Please enter the code in the email we sent you.",もうひとつ、このデバイスを確認する必要があります。先ほどお送りしたメールに記載されているコードを入力してください。
Courses,watch_promo_button,Watch Promo,プロモーションビデオを見る
Courses,your_instructor,Your Instructor,インストラクター
Courses,get_started,Get Started Now,↓下記をクリック↓
Courses,faq_title,Frequently Asked Questions,よくある質問
Courses,curriculum,Course Curriculum,コースカリキュラム
Courses,search_prompt,Find a product,コースを探す
Courses,off_original_price,off original price!,通常価格より割引されます！
Courses,applied_at_checkout,(coupon will be applied at checkout),（クーポンはチェックアウト時に適用されます）
Courses,included_with_purchase,Courses Included with Purchase,同時に受講可能になるコース
Courses,included_courses,Included Courses,含まれているコース
Courses,included_products,Included Products,含まれている製品
Courses,bundle_size,Course Bundle,セットコース
Courses,original_price,Original Price,通常価格
Courses,originally_valued_at,Originally valued at,もともとは
Courses,lecture_list_preview,Preview,プレビュー
Courses,lecture_list_complete,Complete,コンプリート
Courses,lecture_list_start,Start,開始
Courses,lecture_list_review,Review,レビュー
Courses,start_next_lecture,Start next lecture,次のレクチャーに進む
Courses,start_lesson,Start Lesson,レッスン開始
Courses,next_lesson,Next Lesson,次のレッスン
Courses,progress_bar_header,Progress,進捗
Courses,complete_summary,%{completed} / %{total} complete,%{completed} / %{total} 達成
Courses,all_lessons_completed,All lessons have been completed.,すべてのレッスンが完了
Courses,you_can_review,You can review the materials at any point.,教材はいつでも見直すことができます。
Courses,sign_in_to_view_courses,Please Log in or Sign Up to View Your Courses,コースを見るためにログインまたはサインアップしてください。
Courses,cta_before_count,Join,参加する。
Courses,tax_exclusive_disclaimer,Plus tax where applicable.,加えて税金がかかる場合もあります。
Courses,tax_inclusive_disclaimer,Local tax included where applicable.,必要に応じて現地の税金が含まれます。
Courses,cta_after_count,others and get started now!,他の人と今すぐ始めよう！
Courses,cta_no_count,Get started now!,↓下記をクリック↓
Courses,preenrollment_success,Thanks! We'll be in touch.,ありがとうございます。
Courses,preenrollment_failure,Please check your email address.,メールアドレスをご確認ください。
Courses,category_filter,Category:,カテゴリー:
Courses,author_filter,Author:,講師:
Courses,all_filter,All,すべて
Courses,no_products,This course is closed for enrollment.,このコースはまだ公開されていません。
Courses,enroll,Enroll,【受講する】
Courses,search_button,<i class='fa fa-search' title='Search'></i>,"<i class=""fa fa-search""></i>"
Courses,available_in,Available in,公開まで、あと
Courses,after_you_enroll,after you enroll,受講後
Courses,days,days,日
Courses,already_enrolled,You are already enrolled in this course. Click here to view it &rarr;,すでにこのコースを受講しています。こちらをチェックしてください。 →
Courses,certificate,Certificate,証明書
Courses,certificate_download,Download,ダウンロード
Courses,certificate_modal_title,Congratulations on completing %{course_name}!,おめでとうございます！%{course_name}を完了しました。
Courses,certificate_download_info,Get a copy of your certificate,証明書の発行
Courses,available_until,Available until,Available until
Courses,available_until_info,You purchased this course on %{purchase_date} and have until %{expiration_date} to access all the content.,あなたはこのコースを%{purchase_date}に購入し、%{expiration_date}まですべてのコンテンツにアクセスすることができます。
Card Decline Reasons,approve_with_id,The payment cannot be authorized.,支払いを承認できません。
Card Decline Reasons,card_not_supported,This card does not support this type of purchase. Please check with your card provider.,サポートされていないカードです。
Card Decline Reasons,card_velocity_exceeded,This card has exceeded its balance or credit limit. Please try another card.,カードで利用可能な残高またはクレジット限度を超えました。
Card Decline Reasons,currency_not_supported,This card does not support the specified currency. Please try another card.,カードは指定された通貨をサポートしていません。
Card Decline Reasons,duplicate_transaction,"An identical transaction was submitted very recently. Please try again later, or try another card.",ごく最近、同じ内容の取引が行われました。後日、再度お試しいただくか、別のカードをお試しください。
Card Decline Reasons,expired_card,This card has expired. Please try again with a different card.,カードは期限切れです。
Card Decline Reasons,fraudulent,Card declined. Please contact your card provider.,Stripeが不正である疑いがあると判断したため、支払いは拒否されました。
Card Decline Reasons,incorrect_number,Invalid card information. Please try again.,カード番号が正しくありません。
Card Decline Reasons,incorrect_cvc,Invalid card information. Please try again.,CVC番号が正しくありません。
Card Decline Reasons,incorrect_pin,Invalid card information. Please try again.,入力されたPINが正しくありません。
Card Decline Reasons,incorrect_zip,Invalid card information. Please try again.,郵便番号が正しくありません。
Card Decline Reasons,insufficient_funds,The card has insufficient funds.,購入に必要な残高が不足しています。
Card Decline Reasons,invalid_account,"This card, or connected account, is invalid.",カード、またはカードを設定しているアカウントが無効です。
Card Decline Reasons,invalid_amount,Invalid payment amount.,支払金額が無効か、限度額を超えています。
Card Decline Reasons,invalid_cvc,Invalid card information. Please try again.,CVC番号が正しくありません。
Card Decline Reasons,invalid_expiry_year,Invalid card information. Please try again.,有効期限が無効です。
Card Decline Reasons,invalid_number,Invalid card information. Please try again.,カード番号が正しくありません。
Card Decline Reasons,invalid_pin,Invalid card information. Please try again.,入力されたPINが正しくありません。
Card Decline Reasons,issuer_not_available,Unable to reach the card provider. Please contact your card provider if the issue persists.,カード会社へ連絡がつかなったため、支払いを承認できませんでした。
Card Decline Reasons,lost_card,Card declined. Please contact your card provider.,カードが紛失したと報告されたため、支払いが拒否されました。
Card Decline Reasons,merchant_blacklist,This card has been blocked by the seller.,Stripeユーザーのブラックリストと一致するため、支払いが拒否されました。
Card Decline Reasons,new_account_information_available,"This card, or connected account, is invalid.",カード、またはカードが接続されているアカウントが無効です。
Card Decline Reasons,not_permitted,The payment is not permitted.,支払いは許可されていません。
Card Decline Reasons,pickup_card,Card declined. Please contact your card provider.,この支払いにこのカードを使用することはできません（紛失または盗難にあったと報告されている可能性があります）。
Card Decline Reasons,pin_try_exceeded,The allowed number of PIN attempts has been reached.,許可されたPINの試行回数に達しました。
Card Decline Reasons,processing_error,An error occurred while processing this card.,原因不明の理由により、カード会社が支払いを処理できませんでした。
Card Decline Reasons,reenter_transaction,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,restricted_card,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,testmode_decline,Stripe test cards cannot be used for purchases.,ストライプテストカードはお買い物にはご利用いただけません。
Card Decline Reasons,withdrawal_count_limit_exceeded,This card has reached its credit limit.,このカードは利用限度額に達しています。
Card Decline Reasons,stolen_card,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,call_issuer,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,do_not_honor,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,do_not_try_again,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,generic_decline,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,no_action_taken,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,revocation_of_all_authorizations,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,revocation_of_authorization,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,security_violation,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,service_not_allowed,The card has been declined for an unknown reason.,原因不明の理由により、カード会社が支払いを処理できませんでした。
Card Decline Reasons,stop_payment_order,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,transaction_not_allowed,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Card Decline Reasons,try_again_later,Card declined. Please contact your card provider.,カードが使用できません。カード会社にお問い合わせください。
Sessions,signed_in,Signed in successfully.,サインインしました。
Sessions,signed_out,Signed out successfully.,ログアウトしました。
Sessions,already_signed_out,Signed out successfully.,ログアウトしました。
Sessions,locked,You've exceeded the number of unsuccessful login attempts. Please check your email to unlock your account.,ログイン試行の回数が上限を超えました。メールを確認して、アカウントのロックを解除してください。
Sessions,unrecognized_device_title,New device detected,このデバイスを認識できません。
Sessions,new_device_sign_in,"To verify it’s you, enter the code from the email we’ve just sent to you.",ご本人であることを確認するために、送信メールに記載されているコードを入力してください。
Sessions,confirm_device_instructions_notice,Confirm this device by entering the code in the email we sent you.,送信されたメールのコードを入力して、このデバイスを確認します。
Sessions,resend_device_confirmation_email_link,Resend Code,もう一度送信するにはここをクリックしてください。
Sessions,confirmation_code_label,Confirmation code,確認コード
Sessions,submit_confirmation_code,Next,Next
Quiz,Quiz,Quiz,クイズ
Quiz,back,Back,戻る
Quiz,check,Check,採点する
Quiz,continue,Continue,続ける
Quiz,you_scored,You scored,スコア
Quiz,retake_quiz,Retake Quiz,クイズの再挑戦
Quiz,select_an_answer,Select an answer.,答えを選ぶ
Quiz,retake_retry,You need a score of at least %{minimumQuizScore}% to continue - you may retake this quiz %{retakes} more time(s).,続行するには最低 %{minimumQuizScore}% のスコアが必要です - このクイズは %{retakes} 回以上再受験できます。
Quiz,retake_request,You need a score of at least %{minimumQuizScore}% to continue - a request has been sent to the school owner to reset your score. You will be notified if the school owner allows you to retake this quiz.,続行するには最低 %{minimumQuizScore}% のスコアが必要です - あなたのスコアをリセットするリクエストが講座のオーナーへ送信されました。講座のオーナーがあなたにこのクイズの再受験を許可した場合、あなたへ通知されます。
Contact,success_message,Your message has been successfully sent to the school owner(s).,あなたのメッセージは、講座のオーナーに送信されました。
Contact,failure_message,"Unable to send message, please try again.",メッセージを送信できませんでした、もう一度試してください。
Contact,unconfirmed_email_message,You need to confirm your email address before using this functionality.,この機能を利用するには、メールアドレスの確認が必要です。
Blog,about,ABOUT,ABOUT
Blog,read_more,READ MORE,もっと読む
Product Collection,no_products,This bundle is not available for purchase.,このバンドルは購入することはできません。
Product Collection,contents,Bundle contents,バンドルコンテンツ
